VIN,ENGINE_DESC,TRANSMISSION_DESC,BODY_STYLE,PLATFORM,REPAIR_AGE,KM,CUSTOMER_VERBATIM,CORRECTION_VERBATIM,CAUSAL_PART_NM,TRANSACTION_CATEGORY,TOTALCOST,LBRCOST,REPORTING_COST,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION
1HYKNDR46NZ151056,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3","BYT 9 SPD, 9T60, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,21,24129,customer states chrome trim on steering wheel is cracked,replaced steering wheel trim ring,COVER-STRG WHL SPOKE *LINEAR GALAXD,FREG,386.62,51.75,386.62,Crystal Drive Auto,INDIANA,PA,1
1HNEVNKW4SJ144359,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+","BYT 9 SPD, 9T65, GEN 1",4 Door Utility,Crossover SUV,15,35914,CUSTOMER STATES THE LEATHER ON STEERING WHEEL IS COMING APART - SOPHERE,LEATHER PULLING AWAY FROM WHEEL 0130 0.40 REPLACEDSTEERING WHEEL PRE AUTH 488737400000,WHEEL ASM-STRG * JET BLACK,FREG,436.5,56.87,436.5,EliteStreet Motors,WEATHERFORD,TX,1
3HRS9EED0LH255650,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,47,59192,CUSTOMER STATES THE STEERING WHEEL BEZEL IS PEELING.,"Steering Wheel Spoke Cover, PER GOODWILL ASSISTANCE, CUSTOMER HAS A DEDUCTIBLE OF $86.45",APPLIQUE ASM-STRG WHL TR SPOKE CVR *VULCAN,FREG_POL,214.4,78.0,214.4,LibertyRide Auto,VALDOSTA,GA,1
1HKS2JKR2NR336997,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",4 Door Utility,Full-Size Utility,18,32616,CUSTOMER STATES STEERING WHEELS STICHING COMING APART,replaced steering wheel no further action required.,WHEEL ASM-STRG *VERY DARK AT,FREG,454.63,73.62,454.63,Highlander Car Sales,HOMESTEAD,FL,1
1HCFDEED3SZ308171,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,4,8678,WRAP ON THE STEEERING WHEEL IS PEELING ***NEED PRA DONE BY MANAGEMENT****,Replaced steering wheel,WHEEL ASM-STRG *JET BLACK,FREG,456.98,69.06,456.98,HorizonView Auto,GRAND FORKS,ND,1
1HYKNHRS1LZ157005,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,50,56575,C/S CARBON FIBER APPLIQUE ON STEERING WHEEL IS PEELING OFF. SOP IN,REPLACE STEERING WHEEL SWITCH TRIM (SOP PART BEFORE WARRANTY EXPIRATIO N),COVER-STRG WHL SPOKE *HI GLOSS V-C,FREG_POL,695.8,57.26,695.8,RapidRoad Motors,PINELLAS PARK,FL,1
1HRFFHEL8RZ133325,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,1,583,CUST STS THE HEATED STEERING WHEEL WILL TURN ON AT TIMES AND THE TURN OFF ON ITS OWN AND NOT WORK. MOST OF THE TIMETHEWHEELWILLNOTTURN ON AND WORK,"TECH WAS ABLE TO VERIFY CUSTOMERS CONCERN OF HEATED STEERING WHEEL INOP. TECH CHECKED CONNECTION TO THESTEERINGWHEELANDFOUNDHEATING STEERING WHEEL HAS INTERNAL MALFUNCTION AT HARNESS(BROKEN), ORDERED/INSTALLED NEW STERRING WHEEL, OAD",WHEEL ASM-STRG *JET BLACK,FREG,1006.1,165.58,592.1,SilverStone Auto,WESTVILLE,NJ,1
1HCFYEED6NZ182017,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 8 SPD, 8L90, ATSS, CPA, GEN 1",Crew Cab,Full-Size Trucks,23,24983,TRIM OR MOULDING DIAGNOSIS TRIM OR MOULDING DIAGNOSIS - C/S: CUSTOMER REQUEST ED TO INSTALL CORRECT STEERING WHEEL PER SOP - PREVRO 6012971,0130 Labor 0.4 -Removed and replaced steering wheel with correct unit. Verified operation.,WHEEL ASM-STRG *JET BLACK,FREG,299.77,91.4,299.77,CrownCar Dealership,CASTLE ROCK,CO,1
1HCFDEED5SZ117691,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,12,24925,INSTALL SOP. CUSTOMER STATES STITCHING ON STEERING WHEEL IS COMING APART,"PER LAST REPAIR ORDER, REPLACED STEERING WHEEL. PRA#493156300000",WHEEL ASM-STRG *JET BLACK,FREG,432.68,113.09,432.68,NorthStar Wheels,BOLINGBROOK,IL,1
3HNKBHRS8SS220860,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","BYT 9 SPD, 9T65, GEN 1",4 Door Utility,Crossover SUV,7,12782,-C/C BACK OF THE STEERING WHEEL HAS A BUMP THAT CATCHES THE HAND WHENE VER YOU STEER THE WHEEL - PARTS IN SOR M19630,TECH DUPLICATED C-C. FOUND THERE TO BE A DEFECT IN THE LEATHER WRAP ON THE TOP OF THE STEERING WHEEL. RECOMMEND REPLACING STEERINGWHEEL TO FIX CONCERN. TECH REPLACED STEERING WHEEL.,WHEEL ASM-STRG *JET BLACK,FREG,,61.57,249.69,UrbanPeak Auto,SUMMERSIDE,PE,1
1HR49SE7XRF103023,"GAS, 8 CYL, 6.6L, SIDI, VVT, CAST IRON","BYT 10 SPD, RWD 4.54 1ST, 2.86 2ND, 2.06 3RD, 1.7 1 4TH, 1.48 5TH, 1.26 6TH, 1.00 7TH, 10L",Crew Cab,Full-Size Trucks,10,29910,CUST STATES STEERING WHEEL MATERUIAL DELAMINATION AT BOTTOM,"INSPECTED STEERING WHEEL, FOUND LEATHER PEELING AT BOTTOM OFSTEERING WHEEL DUE TO FAILED ADHESIVE, REPLACED STEERING WHEEL",WHEEL ASM-STRG *JET BLACK,FREG,487.54,71.41,487.54,Redwood Car Traders,BRIDGETON,NJ,1
3HRFFEE82RH175165,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,2,1996,"CUSTOMER STATES STEERING WHEEL DOES NOT HEAT, BUTTON PUSHED AND TURNS OFF IMMEDIATELY, PARTS ORDERED.",REPLACE STEERING WHEEL ASSEMBLY CHECK OPERATION OK PRA # 496439500000,WHEEL ASM-STRG *JET BLACK,FREG,511.39,72.57,511.39,MetroDrive Auto Sales,MANKATO,MN,1
3HCND9ED5SH144160,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Single Cab,Full-Size Trucks,4,4421,Steering wheel strings loose .,REPLACED STEERING WHEEL.,WHEEL ASM-STRG *VERY DARK AT,FREG,297.03,20.0,297.03,BlueRidge Motors,KUWAIT CITY,,4
1HYKSSRL1RZ101481,NONE,NONE,4 Door Utility,BEV,7,7199,CUSTOMER STATES THE STEERING WHEEL IS BUBBLING ON INSIDE LEF T SIDE,REMOVED AND REPLACED STEERING WHEEL,WHEEL ASM-STRG *BACKEN BLACKK,FREG,737.49,84.22,737.49,SwiftRoad Car Sales,BAY SHORE,NY,1
1HR49REY4SF251024,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,10,22629,C/S: CUST STATES LEATER AT THE BOTTOM OF THE STEERING WHEELE IS COMING APART PLEASE SEE HISTORY FOR APPROVED PRA ONPREVIOUSROPRA#495602900000,INSPECTED AND CONFIRMED STEERING WHEEL LEATHER COMING APART. SUBMITTED PRA AND WAS APPROVED. NECESSARY TO REMOVE ANDREPLACESTEERINGWHEEL PRA# 495602900000,WHEEL ASM-STRG *JET BLACK,FREG,521.02,90.02,521.02,Vanguard Auto Group,SAINT AUGUSTINE,FL,1
3HCFDFED5SH364828,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,1,697,CUSTOMER STATES STEERING HEATING BUTTON TURNS OFF AFTER 1 MINUTE AND CANNOT BE TURN BACK ON - CHECK AND ADVISE,REMOVED AND REPLACED HEATED STEERING WHEEL MODULE. CLEAR CODES RECHECK OK. HEATED STEERING WHEEL NOW OPERATING AS DESIGNED.2400---------.6 DIAG------------1.0,,FREG,468.16,330.16,330.16,IronClad Wheels,VENTURA,CA,1
2HC4YSEY1S1701193,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,12,26487,CUSTOMER STATES HEATED STEERING WHEEL INOP SOP HERE,REPLACED HEATED STEERING WHEEL MODULE. VERIFIED PROPER OPERATION,MODULE ASM-STRG WHL HT CONT,FREG,227.2,131.06,227.2,LegacyAuto Traders,COTTONDALE,AL,1
1HKS2JKL9MR285352,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10R80, ATSS, ETRS, CPA, GEN 2",4 Door Utility,Full-Size Utility,35,28635,CUSTOMER STATES THAT THE STEERING WHEEL COVER IS COMING APART.,WHEEL COMING APART AT STITCHING. REPLACE STEERING WHEEL 0130 0.4 PR A ATTACH #483410100000,WHEEL ASM-STRG *JET BLACK,FREG,519.97,86.57,519.97,CrystalPeak Motors,SIGNAL HILL,CA,1
1HNSKRKD0RR120386,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,0,3,STEERING WHEEL DAMAGED IN TRANSIT - TEAR/RIP ON RIGHT HAND SIDE ABOVE HAND CONTROLS FOR DIC - REFERENCE PDI RO WHERE DAMAGE WASCAUGHT RO IS 567382,"ACCESSED, REMOVED AND REPLACED THE STEERING WHEEL WITH ALL OTHER RELATED NEW SEALS GASKETS AND/OR NON-REUSABLE HARDWARE ANDREINSTALLED ALL COMPONENTS REMOVED FOR REPAIRS IN THE REVERSE ORDER OF REMOVAL. THE SYSTEM IS NOW OPERATING AS DESIGNED.,0130",WHEEL ASM-STRG *JET BLACK,FREG,411.41,62.06,411.41,RedRock Auto Co.,SAINT CLOUD,MN,1
1HCFDEER5NZ580922,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,10,35617,HEATED STEERING WHEEL INOP,tech 573 Replaced heated steering wheel module,MODULE ASM-STRG WHL HT CONT,FREG,284.04,206.58,270.52,PrestigeCar Sales,CRANBROOK,BC,1
1HRS9EED3MZ313803,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,32,45624,INSPECT AND ADVISE........HEATED STEERING WHEEL IS NON-OPP.,TESTED AND VERIFIED HEATED STEERING WHEEL INOP. LIGHT TURNS ON BUT WHE EL WILL NOT GET WARM. CHECKED FOR CODES- NO CODES. CHECKEDFOR BULLETI NS - NONE RELATED. TESTED AS PER SI DIAGNOSIS - INTERNAL HEATING ELEME NT HAS FAILED. WILL NEED TO REPLACE STEERINGWHEEL. SUBMITTED PRA AND GOT APPROVAL FOR WHEEL REPLACEMENT. REPLACED STEERING WHEEL AND TESTED - ALL OK. PRA AUTH CODE-496425100000 LOC 0130 (BASE+DIAG),WHEEL ASM-STRG *BLACK,FREG,445.12,74.2,423.92,TitanDrive Motors,ABBOTSFORD,BC,1
2HCFDEED4R1147650,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,3,4566,"CUSTOMER STATES THE STEERING WHEEL IS PEELING, REFERENCE PREVIOUS REPAIR ORDER 6140479, MANAGER SUBMITTED FOR PREAUTHORIZATION AND RECEIVED APPROVAL CODE 493245700000","removed air bag, replaced steering wheel, reinstalled airbag. no further action required",WHEEL ASM-STRG *VERY DARK AT,FREG,500.38,74.99,500.38,DreamCar Auto Sales,STILLWATER,OK,1
